RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
d05633,NEPAFENAC OPHTHALMIC,1,133,147,167,,,,,,,,,,133,147,167,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFLAMMATORY AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d05635,METFORMIN; PIOGLITAZONE,2,358,99,314,,,,,,,,,,358,99,214,358,99,271,,,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,ANTIDIABETIC COMBINATIONS,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,BIGUANIDES,METABOLIC AGENTS,ANTIDIABETIC AGENTS,THIAZOLIDINEDIONES,,,,,,,,,,,,
d05644,ACETAMINOPHEN; CAFFEINE; ISOMETHEPTENE MUCATE,2,57,58,63,,,,,,,,,,57,58,59,57,58,193,57,71,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,ANALGESIC COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,ANTIMIGRAINE AGENTS,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,
d05651,SODIUM HYALURONATE TOPICAL,1,133,136,140,,,,,,,,,,133,136,140,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,MISCELLANEOUS TOPICAL AGENTS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,MISCELLANEOUS TOPICAL AGENTS,,,,,,,,,,,,,,,
d05674,GLIMEPIRIDE; ROSIGLITAZONE,2,358,99,314,,,,,,,,,,358,99,213,358,99,271,,,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,ANTIDIABETIC COMBINATIONS,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,SULFONYLUREAS,METABOLIC AGENTS,ANTIDIABETIC AGENTS,THIAZOLIDINEDIONES,,,,,,,,,,,,
d05691,SORAFENIB,1,20,397,,20,402,,,,,,,,20,397,,20,402,,,,,,,,,,,,,,ANTINEOPLASTICS,MULTIKINASE INHIBITORS,,ANTINEOPLASTICS,VEGF/VEGFR  INHIBITORS,,,,,,,,ANTINEOPLASTICS,MULTIKINASE INHIBITORS,,ANTINEOPLASTICS,VEGF/VEGFR  INHIBITORS,,,,,,,,,,,,,
d05694,ABATACEPT,1,105,192,,254,104,444,,,,,,,105,192,,254,104,444,,,,,,,,,,,,,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,SELECTIVE IMMUNOSUPPRESSANTS,,,,,,,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,SELECTIVE IMMUNOSUPPRESSANTS,,,,,,,,,,,,
d05696,LENALIDOMIDE,1,20,25,,254,104,445,,,,,,,20,25,,254,104,445,,,,,,,,,,,,,ANTINEOPLASTICS,MISCELLANEOUS ANTINEOPLASTICS,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,OTHER IMMUNOSUPPRESSANTS,,,,,,,ANTINEOPLASTICS,MISCELLANEOUS ANTINEOPLASTICS,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,OTHER IMMUNOSUPPRESSANTS,,,,,,,,,,,,
d05704,IMMUNE GLOBULIN SUBCUTANEOUS,1,254,33,,,,,,,,,,,254,33,,,,,,,,,,,,,,,,,IMMUNOLOGIC AGENTS,IMMUNE GLOBULINS,,,,,,,,,,,IMMUNOLOGIC AGENTS,IMMUNE GLOBULINS,,,,,,,,,,,,,,,,
d05706,IVABRADINE,1,40,51,,,,,,,,,,,40,51,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,MISCELLANEOUS CARDIOVASCULAR AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,MISCELLANEOUS CARDIOVASCULAR AGENTS,,,,,,,,,,,,,,,,
d05717,SUNITINIB,1,20,397,,20,402,,,,,,,,20,397,,20,402,,,,,,,,,,,,,,ANTINEOPLASTICS,MULTIKINASE INHIBITORS,,ANTINEOPLASTICS,VEGF/VEGFR  INHIBITORS,,,,,,,,ANTINEOPLASTICS,MULTIKINASE INHIBITORS,,ANTINEOPLASTICS,VEGF/VEGFR  INHIBITORS,,,,,,,,,,,,,
d05719,RANOLAZINE,1,40,45,,,,,,,,,,,40,45,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIANGINAL AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIANGINAL AGENTS,,,,,,,,,,,,,,,,
d05736,LUBIPROSTONE,1,87,355,362,,,,,,,,,,87,355,362,,,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,CHLORIDE CHANNEL ACTIVATORS,,,,,,,,,,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,CHLORIDE CHANNEL ACTIVATORS,,,,,,,,,,,,,,,
d05753,MICONAZOLE; ZINC OXIDE TOPICAL,2,133,136,292,,,,,,,,,,133,136,140,133,136,292,133,151,268,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIFUNGALS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,MISCELLANEOUS TOPICAL AGENTS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIFUNGALS,TOPICAL AGENTS,VAGINAL PREPARATIONS,VAGINAL ANTI-INFECTIVES,,,,,,,,,
d05765,INSULIN INHALATION RAPID ACTING,1,358,99,215,,,,,,,,,,358,99,215,,,,,,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,INSULIN,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,INSULIN,,,,,,,,,,,,,,,
d05770,OMEPRAZOLE; SODIUM BICARBONATE,2,87,272,,,,,,,,,,,87,88,,87,272,,113,265,,115,117,,,,,,,,GASTROINTESTINAL AGENTS,PROTON PUMP INHIBITORS,,,,,,,,,,,GASTROINTESTINAL AGENTS,ANTACIDS,,GASTROINTESTINAL AGENTS,PROTON PUMP INHIBITORS,,GENITOURINARY TRACT AGENTS,URINARY PH MODIFIERS,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,
d05807,VARENICLINE,1,105,320,,,,,,,,,,,105,320,,,,,,,,,,,,,,,,,MISCELLANEOUS AGENTS,SMOKING CESSATION AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,SMOKING CESSATION AGENTS,,,,,,,,,,,,,,,,
d05825,DARUNAVIR,1,1,7,175,,,,,,,,,,1,7,175,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,,,,,,,,,,,,,,,
d05831,DASATINIB,1,20,398,,,,,,,,,,,20,398,,,,,,,,,,,,,,,,,ANTINEOPLASTICS,BCR-ABL TYROSINE KINASE INHIBITORS,,,,,,,,,,,ANTINEOPLASTICS,BCR-ABL TYROSINE KINASE INHIBITORS,,,,,,,,,,,,,,,,
d05847,EFAVIRENZ; EMTRICITABINE; TENOFOVIR,2,1,7,327,,,,,,,,,,1,7,176,1,7,227,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,ANTIVIRAL COMBINATIONS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NRTIS,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NNRTIS,,,,,,,,,,,,
d05848,ROTIGOTINE,1,57,66,276,,,,,,,,,,57,66,276,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIPARKINSON AGENTS,DOPAMINERGIC ANTIPARKINSONISM AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIPARKINSON AGENTS,DOPAMINERGIC ANTIPARKINSONISM AGENTS,,,,,,,,,,,,,,,
d05851,LEVOCETIRIZINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d05876,DEXCHLORPHENIRAMINE; DEXTROMETHORPHAN; PHENYLEPHRINE,2,122,132,,,,,,,,,,,40,54,,122,123,,122,124,,122,127,,,,,,,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d05877,DEXTROMETHORPHAN; DIPHENHYDRAMINE; PHENYLEPHRINE,2,122,132,,,,,,,,,,,40,54,,57,65,197,57,66,205,57,67,70,122,123,,122,124,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,CENTRAL NERVOUS SYSTEM AGENTS,ANTIPARKINSON AGENTS,ANTICHOLINERGIC ANTIPARKINSON AGENTS,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,
d05893,ARFORMOTEROL,1,122,125,180,,,,,,,,,,122,125,180,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d05896,SITAGLIPTIN,1,358,99,371,,,,,,,,,,358,99,371,,,,,,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,DIPEPTIDYL PEPTIDASE 4 INHIBITORS,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,DIPEPTIDYL PEPTIDASE 4 INHIBITORS,,,,,,,,,,,,,,,
d05899,CICLESONIDE NASAL,1,133,247,245,,,,,,,,,,133,247,245,,,,,,,,,,,,,,,,TOPICAL AGENTS,NASAL PREPARATIONS,NASAL STEROIDS,,,,,,,,,,TOPICAL AGENTS,NASAL PREPARATIONS,NASAL STEROIDS,,,,,,,,,,,,,,,
d05973,CLINDAMYCIN; TRETINOIN TOPICAL,2,133,136,143,,,,,,,,,,133,136,143,133,151,268,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ACNE AGENTS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ACNE AGENTS,TOPICAL AGENTS,VAGINAL PREPARATIONS,VAGINAL ANTI-INFECTIVES,,,,,,,,,,,,
d05974,ANTIHEMOPHILIC FACTOR,1,81,85,,,,,,,,,,,81,85,,,,,,,,,,,,,,,,,COAGULATION MODIFIERS,MISCELLANEOUS COAGULATION MODIFIERS,,,,,,,,,,,COAGULATION MODIFIERS,MISCELLANEOUS COAGULATION MODIFIERS,,,,,,,,,,,,,,,,
d06032,FLUOCINOLONE OTIC,1,133,148,370,,,,,,,,,,133,148,370,,,,,,,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,OTIC STEROIDS,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,OTIC STEROIDS,,,,,,,,,,,,,,,
d06058,DEXBROMPHENIRAMINE; HYDROCODONE; PHENYLEPHRINE,2,122,132,,,,,,,,,,,40,54,,57,58,60,122,123,,122,124,,122,127,,,,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,
d06272,DIENOGEST; ESTRADIOL,2,97,101,102,,,,,,,,,,97,101,183,97,101,185,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,PROGESTINS,,,,,,,,,,,,
d06297,PALIPERIDONE,1,242,251,341,,,,,,,,,,242,251,341,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,ATYPICAL ANTIPSYCHOTICS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,ATYPICAL ANTIPSYCHOTICS,,,,,,,,,,,,,,,
d06635,MILNACIPRAN,1,242,249,308,,,,,,,,,,242,249,308,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,SSNRI ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,SSNRI ANTIDEPRESSANTS,,,,,,,,,,,,,,,
d06662,AMLODIPINE; VALSARTAN,2,40,55,479,,,,,,,,,,40,48,,40,56,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,ANGIOTENSIN II INHIBITORS WITH CALCIUM CHANNEL BLOCKERS,,,,,,,,,,CARDIOVASCULAR AGENTS,CALCIUM CHANNEL BLOCKING AGENTS,,CARDIOVASCULAR AGENTS,ANGIOTENSIN II INHIBITORS,,,,,,,,,,,,,
d06663,LISDEXAMFETAMINE,1,57,71,,,,,,,,,,,57,71,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d06665,ALISKIREN,1,40,342,,,,,,,,,,,40,342,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,RENIN INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,RENIN INHIBITORS,,,,,,,,,,,,,,,,
d06669,HYDROCODONE; PSEUDOEPHEDRINE; TRIPROLIDINE,2,122,132,,,,,,,,,,,57,58,60,122,123,,122,124,,122,127,,,,,,,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d06672,LAPATINIB,1,20,404,,20,405,,,,,,,,20,404,,20,405,,,,,,,,,,,,,,ANTINEOPLASTICS,EGFR INHIBITORS,,ANTINEOPLASTICS,HER2 INHIBITORS,,,,,,,,ANTINEOPLASTICS,EGFR INHIBITORS,,ANTINEOPLASTICS,HER2 INHIBITORS,,,,,,,,,,,,,
d06720,METFORMIN; SITAGLIPTIN,2,358,99,314,,,,,,,,,,358,99,214,358,99,371,,,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,ANTIDIABETIC COMBINATIONS,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,BIGUANIDES,METABOLIC AGENTS,ANTIDIABETIC AGENTS,DIPEPTIDYL PEPTIDASE 4 INHIBITORS,,,,,,,,,,,,
d06841,AMBRISENTAN,1,40,303,,,,,,,,,,,40,303,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,AGENTS FOR PULMONARY HYPERTENSION,,,,,,,,,,,CARDIOVASCULAR AGENTS,AGENTS FOR PULMONARY HYPERTENSION,,,,,,,,,,,,,,,,
d06842,ARMODAFINIL,1,57,71,,,,,,,,,,,57,71,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d06851,AZITHROMYCIN OPHTHALMIC,1,133,147,163,,,,,,,,,,133,147,163,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
d06852,MARAVIROC,1,1,7,364,,,,,,,,,,1,7,364,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,ANTIVIRAL CHEMOKINE RECEPTOR ANTAGONIST,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,ANTIVIRAL CHEMOKINE RECEPTOR ANTAGONIST,,,,,,,,,,,,,,,
d06872,ACETAMINOPHEN; CHLORPHENIRAMINE; PHENYLEPHRINE; PHENYLTOLOXAMINE,2,122,132,,,,,,,,,,,40,54,,57,58,59,122,123,,122,127,,,,,,,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d06891,CHLOROPHYLLIN COPPER COMPLEX; PAPAIN; UREA TOPICAL,2,133,136,380,,,,,,,,,,133,136,140,133,136,248,133,136,380,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL DEBRIDING AGENTS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,MISCELLANEOUS TOPICAL AGENTS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL EMOLLIENTS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL DEBRIDING AGENTS,,,,,,,,,
d06905,AMLODIPINE; OLMESARTAN,2,40,55,479,,,,,,,,,,40,48,,40,56,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,ANGIOTENSIN II INHIBITORS WITH CALCIUM CHANNEL BLOCKERS,,,,,,,,,,CARDIOVASCULAR AGENTS,CALCIUM CHANNEL BLOCKING AGENTS,,CARDIOVASCULAR AGENTS,ANGIOTENSIN II INHIBITORS,,,,,,,,,,,,,
d06911,EPOETIN BETA; METHOXY POLYETHYLENE GLYCOL,1,28,36,,,,,,,,,,,28,36,,,,,,,,,,,,,,,,,BIOLOGICALS,ERYTHROPOIESIS-STIMULATING AGENTS,,,,,,,,,,,BIOLOGICALS,ERYTHROPOIESIS-STIMULATING AGENTS,,,,,,,,,,,,,,,,
d07048,RALTEGRAVIR,1,1,7,366,,,,,,,,,,1,7,366,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,INTEGRASE STRAND TRANSFER INHIBITOR,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,INTEGRASE STRAND TRANSFER INHIBITOR,,,,,,,,,,,,,,,
d07063,BROMPHENIRAMINE; DIPHENHYDRAMINE,2,122,132,,,,,,,,,,,57,65,197,57,66,205,57,67,70,122,123,,,,,,,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,CENTRAL NERVOUS SYSTEM AGENTS,ANTIPARKINSON AGENTS,ANTICHOLINERGIC ANTIPARKINSON AGENTS,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,
d07064,BROMPHENIRAMINE; DIPHENHYDRAMINE; PHENYLEPHRINE,2,122,132,,,,,,,,,,,40,54,,57,65,197,57,66,205,57,67,70,122,123,,122,127,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,CENTRAL NERVOUS SYSTEM AGENTS,ANTIPARKINSON AGENTS,ANTICHOLINERGIC ANTIPARKINSON AGENTS,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,DECONGESTANTS,
d07069,RUFINAMIDE,1,57,64,311,,,,,,,,,,57,64,311,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,DIBENZAZEPINE ANTICONVULSANTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTICONVULSANTS,DIBENZAZEPINE ANTICONVULSANTS,,,,,,,,,,,,,,,
d07076,ETRAVIRINE,1,1,7,227,,,,,,,,,,1,7,227,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NNRTIS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NNRTIS,,,,,,,,,,,,,,,
d07077,ALISKIREN; HYDROCHLOROTHIAZIDE,2,40,55,470,,,,,,,,,,40,49,156,40,342,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,MISCELLANEOUS ANTIHYPERTENSIVE COMBINATIONS,,,,,,,,,,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,CARDIOVASCULAR AGENTS,RENIN INHIBITORS,,,,,,,,,,,,,
d07110,NIACIN; SIMVASTATIN,2,358,19,317,,,,,,,,,,115,119,,358,19,173,358,19,174,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,ANTIHYPERLIPIDEMIC COMBINATIONS,,,,,,,,,,NUTRITIONAL PRODUCTS,VITAMINS,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,HMG-COA REDUCTASE INHIBITORS (STATINS),METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,MISCELLANEOUS ANTIHYPERLIPIDEMIC AGENTS,,,,,,,,,
d07113,DESVENLAFAXINE,1,242,249,308,,,,,,,,,,242,249,308,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,SSNRI ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,SSNRI ANTIDEPRESSANTS,,,,,,,,,,,,,,,
d07125,HYDROCORTISONE; LIDOCAINE TOPICAL W PSYLLIUM,2,87,95,,133,136,139,,,,,,,87,95,,133,136,138,133,136,139,,,,,,,,,,GASTROINTESTINAL AGENTS,LAXATIVES,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANESTHETICS,,,,,,,GASTROINTESTINAL AGENTS,LAXATIVES,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL STEROIDS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANESTHETICS,,,,,,,,,
d07130,NAPROXEN; SUMATRIPTAN,2,57,58,193,,,,,,,,,,57,58,61,57,58,193,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,ANTIMIGRAINE AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,ANTIMIGRAINE AGENTS,,,,,,,,,,,,
d07132,OLOPATADINE NASAL,1,133,247,246,,,,,,,,,,133,247,246,,,,,,,,,,,,,,,,TOPICAL AGENTS,NASAL PREPARATIONS,NASAL ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,NASAL PREPARATIONS,NASAL ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d07135,METHYLNALTREXONE,1,87,355,375,,,,,,,,,,87,355,375,,,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,PERIPHERAL OPIOID RECEPTOR ANTAGONISTS,,,,,,,,,,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,PERIPHERAL OPIOID RECEPTOR ANTAGONISTS,,,,,,,,,,,,,,,
d07137,DABIGATRAN,1,81,82,283,,,,,,,,,,81,82,283,,,,,,,,,,,,,,,,COAGULATION MODIFIERS,ANTICOAGULANTS,THROMBIN INHIBITORS,,,,,,,,,,COAGULATION MODIFIERS,ANTICOAGULANTS,THROMBIN INHIBITORS,,,,,,,,,,,,,,,
d07162,FESOTERODINE,1,113,264,,,,,,,,,,,113,264,,,,,,,,,,,,,,,,,GENITOURINARY TRACT AGENTS,URINARY ANTISPASMODICS,,,,,,,,,,,GENITOURINARY TRACT AGENTS,URINARY ANTISPASMODICS,,,,,,,,,,,,,,,,
d07298,DIFLUPREDNATE OPHTHALMIC,1,133,147,165,,,,,,,,,,133,147,165,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC STEROIDS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC STEROIDS,,,,,,,,,,,,,,,
